school,Express,Normal (Academic),Normal (Technical),Integrated Programme,Integrated Programme.affliated,Integrated Programme.non-affliated,Express.affliated,Express.non-affliated,Normal (Academic).affliated,Normal (Academic).non-affliated,Normal (Technical).affliated,Normal (Technical).non-affliated
admiralty-secondary-school,203 - 231,168 - 197,132 - 157,,,,,,,,,
ahmad-ibrahim-secondary-school,224 - 239,177 - 196,131 - 156,,,,,,,,,
anderson-secondary-school,245 - 260,188 - 199,140 - 157,,,,,,,,,
ang-mo-kio-secondary-school,229 - 242,170 - 199,130 - 153,,,,,,,,,
anglican-high-school,241 - 259, - , - ,,,,,,,,,
anglo-chinese-school-independent-secondary,,,,, - ,256 - 274,235 - 255,252 - 255, - , - , - , - 
assumption-english-school,188 - 244,152 - 186,105 - 151,,,,,,,,,
bartley-secondary-school,188 - 252,155 - 192,100 - 149,,,,,,,,,
beatty-secondary-school,217 - 237,152 - 195,124 - 158,,,,,,,,,
bedok-green-secondary-school,201 - 232,159 - 198,132 - 154,,,,,,,,,
bedok-view-secondary-school,218 - 240,164 - 191, - ,,,,,,,,,
bendemeer-secondary-school,188 - 257,152 - 187,136 - 153,,,,,,,,,
boon-lay-secondary-school,188 - 268,152 - 187,106 - 150,,,,,,,,,
bowen-secondary-school,226 - 244,175 - 199,139 - 159,,,,,,,,,
broadrick-secondary-school,188 - 253,152 - 191,91 - 148,,,,,,,,,
bukit-batok-secondary-school,229 - 241,177 - 198,135 - 153,,,,,,,,,
bukit-merah-secondary-school,188 - 249,152 - 186,117 - 157,,,,,,,,,
bukit-panjang-govt-high-school,244 - 260,187 - 199,145 - 159,,,,,,,,,
bukit-view-secondary-school,213 - 238,152 - 199, - ,,,,,,,,,
chij-katong-convent,,,,,,,203 - 247,229 - 237,153 - 199,158 - 199,113 - 150,111 - 156
chij-st-josephs-convent,,,,,,,200 - 248,237 - 246,162 - 199,187 - 196,119 - 151,139 - 153
chij-st-theresas-convent,,,,,,,200 - 242,238 - 243,154 - 199,184 - 198,117 - 151,110 - 159
canberra-secondary-school,191 - 241,165 - 197,108 - 157,,,,,,,,,
catholic-high-school-secondary,,,,, - ,252 - 274,240 - 253,249 - 259, - , - , - , - 
changkat-changi-secondary-school,188 - 246,152 - 185, - ,,,,,,,,,
christ-church-secondary-school,207 - 235,170 - 199,122 - 156,,,,,,,,,
chung-cheng-high-school-main,244 - 269, - , - ,,,,,,,,,
chung-cheng-high-school-yishun,241 - 259,185 - 199,142 - 157,,,,,,,,,
clementi-town-secondary-school,235 - 246,178 - 199,120 - 156,,,,,,,,,
commonwealth-secondary-school,239 - 247,180 - 199,114 - 158,,,,,,,,,
compassvale-secondary-school,215 - 239,176 - 197,139 - 157,,,,,,,,,
crescent-girls-school,243 - 255, - , - ,,,,,,,,,
deyi-secondary-school,222 - 242,166 - 199,127 - 156,,,,,,,,,
dunearn-secondary-school,188 - 246,153 - 191,117 - 151,,,,,,,,,
dunman-high-school-secondary,255 - 280, - , - ,,,,,,,,,
dunman-secondary-school,232 - 251,183 - 199,140 - 155,,,,,,,,,
east-spring-secondary-school,188 - 227,157 - 191,109 - 153,,,,,,,,,
edgefield-secondary-school,230 - 259,186 - 199,148 - 159,,,,,,,,,
evergreen-secondary-school,229 - 248,179 - 199,138 - 159,,,,,,,,,
fairfield-methodist-school-secondary,,,,,,,200 - 260,243 - 251,171 - 199,187 - 199,139 - 157,97 - 158
fajar-secondary-school,188 - 242,152 - 187,94 - 156,,,,,,,,,
fuchun-secondary-school,188 - 236,152 - 193,108 - 148,,,,,,,,,
fuhua-secondary-school,236 - 254,176 - 199,105 - 159,,,,,,,,,
gan-eng-seng-school,227 - 249,179 - 199,141 - 157,,,,,,,,,
geylang-methodist-school-secondary,,,,,,,197 - 235,231 - 253,153 - 192,181 - 199,114 - 152,143 - 159
greendale-secondary-school,213 - 238,180 - 199,143 - 158,,,,,,,,,
greenridge-secondary-school,193 - 229,156 - 189,108 - 154,,,,,,,,,
guangyang-secondary-school,192 - 225,152 - 196,105 - 151,,,,,,,,,
hai-sing-catholic-school,225 - 241,172 - 199,119 - 158,,,,,,,,,
hillgrove-secondary-school,211 - 242,166 - 198,123 - 158,,,,,,,,,
holy-innocents-high-school,,,,,,,188 - 244,232 - 244,154 - 187,181 - 198,120 - 151,131 - 157
hougang-secondary-school,205 - 225,165 - 193,129 - 156,,,,,,,,,
hua-yi-secondary-school,227 - 242,182 - 199,144 - 156,,,,,,,,,
hwa-chong-institution-secondary,257 - 279, - , - ,,,,,,,,,
junyuan-secondary-school,191 - 221,155 - 185,114 - 158,,,,,,,,,
jurong-secondary-school,228 - 238,177 - 198,133 - 159,,,,,,,,,
jurongville-secondary-school,202 - 225,160 - 192,134 - 159,,,,,,,,,
kranji-secondary-school,234 - 242,180 - 199,126 - 154,,,,,,,,,
kuo-chuan-presbyterian-secondary-school,,,,,,,200 - 241,238 - 254,155 - 199,171 - 199, - , - 
loyang-view-secondary-school,188 - 230,152 - 197,104 - 156,,,,,,,,,
manjusri-secondary-school,,,,,,,189 - 238,197 - 230,157 - 182,152 - 184,106 - 149,97 - 153
maris-stella-high-school-secondary,,,,,,,226 - 249,239 - 255, - , - , - , - 
mayflower-secondary-school,224 - 240,174 - 195,105 - 157,,,,,,,,,
meridian-secondary-school,212 - 232,163 - 199,137 - 159,,,,,,,,,
methodist-girls-school-secondary,,,,, - ,257 - 271,220 - 257,253 - 263, - , - , - , - 
montfort-secondary-school,,,,,,,188 - 237,207 - 234,154 - 187,164 - 198,111 - 147,127 - 158
nan-chiau-high-school,244 - 263, - , - ,,,,,,,,,
nan-hua-high-school,246 - 264, - , - ,,,,,,,,,
nanyang-girls-high-school,,,,,,,250 - 279,261 - 278, - , - , - , - 
national-junior-college-secondary,254 - 273, - , - ,,,,,,,,,
naval-base-secondary-school,205 - 235,168 - 196,130 - 159,,,,,,,,,
new-town-secondary-school,204 - 226,152 - 183, - ,,,,,,,,,
ngee-ann-secondary-school,,,,,,,225 - 251,238 - 256,152 - 197,189 - 199,121 - 152,146 - 155
north-vista-secondary-school,218 - 247,170 - 198,139 - 157,,,,,,,,,
outram-secondary-school,188 - 258,152 - 181,97 - 150,,,,,,,,,
paya-lebar-methodist-girls-school-secondary,,,,,,,205 - 255,237 - 261,161 - 199,173 - 199,139 - 157,121 - 159
pei-hwa-secondary-school,226 - 244,186 - 199,146 - 159,,,,,,,,,
peicai-secondary-school,188 - 240,152 - 189,99 - 155,,,,,,,,,
ping-yi-secondary-school,188 - 233,152 - 187,101 - 149,,,,,,,,,
presbyterian-high-school,236 - 252,180 - 199,133 - 158,,,,,,,,,
punggol-secondary-school,205 - 230,171 - 199,140 - 158,,,,,,,,,
queenstown-secondary-school,191 - 225,152 - 188,120 - 149,,,,,,,,,
queensway-secondary-school,222 - 242,168 - 194,131 - 152,,,,,,,,,
raffles-girls-school-secondary,261 - 282, - , - ,,,,,,,,,
raffles-institution-secondary,259 - 277, - , - ,,,,,,,,,
regent-secondary-school,200 - 223,158 - 199, - ,,,,,,,,,
river-valley-high-school-secondary,253 - 276, - , - ,,,,,,,,,
riverside-secondary-school,235 - 255,183 - 199,144 - 159,,,,,,,,,
sembawang-secondary-school,188 - 225,153 - 194,115 - 151,,,,,,,,,
seng-kang-secondary-school,209 - 229,169 - 192,141 - 156,,,,,,,,,
serangoon-garden-secondary-school,188 - 239,152 - 187,123 - 152,,,,,,,,,
serangoon-secondary-school,194 - 225,164 - 197,130 - 156,,,,,,,,,
singapore-chinese-girls-school,,,,, - ,252 - 271,220 - 253,252 - 258, - , - , - , - 
st-andrews-secondary-school,,,,,,,193 - 262,247 - 249,152 - 195,193 - 199,99 - 149,142 - 157
st-gabriels-secondary-school,,,,,,,188 - 231,225 - 243,152 - 185,172 - 196,130 - 146,121 - 153
st-hildas-secondary-school,,,,,,,188 - 232,228 - 241,152 - 196,178 - 196,116 - 150,127 - 156
st-josephs-institution-secondary,,,,, - ,251 - 263,238 - 255,246 - 255, - , - , - , - 
st-patricks-school,,,,,,,201 - 240,233 - 238,152 - 194,184 - 193,110 - 148,143 - 155
swiss-cottage-secondary-school,242 - 261,187 - 199,148 - 159,,,,,,,,,
tanglin-secondary-school,188 - 235,152 - 195,107 - 149,,,,,,,,,
tanjong-katong-girls-school,237 - 271, - , - ,,,,,,,,,
tanjong-katong-secondary-school,234 - 256, - , - ,,,,,,,,,
teck-whye-secondary-school,189 - 221,154 - 187,110 - 154,,,,,,,,,
temasek-junior-college-secondary,250 - 264, - , - ,,,,,,,,,
temasek-secondary-school,235 - 246,187 - 199,145 - 159,,,,,,,,,
westwood-secondary-school,194 - 232,153 - 192,122 - 153,,,,,,,,,
whitley-secondary-school,188 - 241,152 - 184,101 - 156,,,,,,,,,
woodgrove-secondary-school,204 - 242,165 - 199,131 - 159,,,,,,,,,
woodlands-secondary-school,188 - 236,155 - 198,120 - 159,,,,,,,,,
xinmin-secondary-school,234 - 254,182 - 199,137 - 158,,,,,,,,,
yishun-secondary-school,207 - 237,169 - 198,118 - 157,,,,,,,,,
yishun-town-secondary-school,239 - 255,186 - 199,148 - 159,,,,,,,,,
yuan-ching-secondary-school,218 - 233,166 - 198,118 - 154,,,,,,,,,
yuhua-secondary-school,188 - 229,153 - 181,116 - 157,,,,,,,,,
yuying-secondary-school,188 - 230,152 - 193,123 - 156,,,,,,,,,
zhenghua-secondary-school,210 - 237,169 - 198,129 - 158,,,,,,,,,
zhonghua-secondary-school,236 - 264,181 - 199,134 - 159,,,,,,,,,
anglo-chinese-school-barker-road,,,,,,,198 - 239,246 - 251,159 - 198,188 - 199,120 - 149,129 - 157
bedok-south-secondary-school,213 - 237,159 - 199,96 - 152,,,,,,,,,
chij-secondary-toa-payoh,,,,,,,200 - 255,246 - 255,155 - 199,187 - 199,137 - 154,105 - 159
chij-st-nicholas-girls-school-secondary,,,,,,257 - 274,230 - 269,253 - 264,,,,
cedar-girls-secondary-school,249 - 263,,,253 - 270,,,,,,,,
chua-chu-kang-secondary-school,216 - 239,171 - 199,115 - 156,,,,,,,,,
damai-secondary-school,188 - 232,152 - 180,112 - 156,,,,,,,,,
jurong-west-secondary-school,214 - 248,172 - 196,125 - 157,,,,,,,,,
juying-secondary-school,198 - 235,160 - 197,135 - 157,,,,,,,,,
kent-ridge-secondary-school,217 - 237,167 - 199,108 - 148,,,,,,,,,
marsiling-secondary-school,188 - 235,152 - 187,104 - 152,,,,,,,,,
northbrooks-secondary-school,188 - 237,158 - 186,129 - 154,,,,,,,,,
northland-secondary-school,188 - 248,154 - 185,113 - 155,,,,,,,,,
pasir-ris-crest-secondary-school,220 - 248,172 - 199,128 - 159,,,,,,,,,
pasir-ris-secondary-school,220 - 236,170 - 197,123 - 153,,,,,,,,,
spectra-secondary-school,,,,,,,,,,,,
springfield-secondary-school,188 - 256,152 - 186,114 - 153,,,,,,,,,
st-anthonys-canossian-secondary-school,,,,,,,193 - 253,230 - 239,152 - 188,152 - 187,106 - 151,95 - 154
st-margarets-secondary-school,,,,,,,200 - 265,243 - 255,154 - 199,171 - 199,121 - 151,126 - 159
tampines-secondary-school,210 - 238,167 - 199,132 - 157,,,,,,,,,
unity-secondary-school,219 - 251,169 - 187,104 - 151,,,,,,,,,
orchid-park-secondary-school,214 - 234,177 - 198,126 - 158,,,,,,,,,
west-spring-secondary-school,225 - 242,175 - 199,135 - 159,,,,,,,,,
woodlands-ring-secondary-school,212 - 235,160 - 199,122 - 158,,,,,,,,,
yio-chu-kang-secondary-school,189 - 238,152 - 183,109 - 147,,,,,,,,,
nus-high-school-of-mathematics-and-science,,,,,,,,,,,,
northlight-school,,,,,,,,,,,,
school-of-science-and-technology-singapore,,,,,,,,,,,,
singapore-sports-school,,,,,,,,,,,,
yusof-ishak-secondary-school,,,,,,,,,,,,
peirce-secondary-school,214 - 231,160 - 199,108 - 138,,,,,,,,,
victoria-school,248 - 262,,,252 - 275,,,,,,,,
assumption-pathway-school,,,,,,,,,,,,
crest-secondary-school,,,,,,,,,,,,
school-of-the-arts-singapore,,,,,,,,,,,,
